retailer,channel,set,soa
Ahold Delhaize,FOOD,CAT MAIN MEAL DRY,10.993
Ahold Delhaize,FOOD,CAT MAIN MEAL WET,6.083
Ahold Delhaize,FOOD,DOG MAIN MEAL DRY,24.283
Ahold Delhaize,FOOD,DOG MAIN MEAL WET,56.635
Ahold Delhaize,FOOD,CAT TREATS,71.355
Ahold Delhaize,FOOD,DOG TREATS,6.634
Albertsons,FOOD,CAT MAIN MEAL DRY,12.324
Albertsons,FOOD,CAT MAIN MEAL WET,6.39
Albertsons,FOOD,DOG MAIN MEAL DRY,22.653
Albertsons,FOOD,DOG MAIN MEAL WET,50.043
Albertsons,FOOD,CAT TREATS,65.629
Albertsons,FOOD,DOG TREATS,4.261
Family Dollar,Small Format,CAT MAIN MEAL DRY,0
Family Dollar,Small Format,CAT MAIN MEAL WET,0.007
Family Dollar,Small Format,DOG MAIN MEAL DRY,24.701
Family Dollar,Small Format,DOG MAIN MEAL WET,57.282
Family Dollar,Small Format,CAT TREATS,64.687
Family Dollar,Small Format,DOG TREATS,3.128
Meijer,MASS,CAT MAIN MEAL DRY,18.142
Meijer,MASS,CAT MAIN MEAL WET,14.449
Meijer,MASS,DOG MAIN MEAL DRY,27.961
Meijer,MASS,DOG MAIN MEAL WET,54.143
Meijer,MASS,CAT TREATS,58.708
Meijer,MASS,DOG TREATS,7.056
Target,MASS,CAT MAIN MEAL DRY,20.152
Target,MASS,CAT MAIN MEAL WET,14.69
Target,MASS,DOG MAIN MEAL DRY,31.642
Target,MASS,DOG MAIN MEAL WET,57.464
Target,MASS,CAT TREATS,66.1
Target,MASS,DOG TREATS,7.614
Walmart,FOOD,CAT MAIN MEAL DRY,8.858
Walmart,FOOD,CAT MAIN MEAL WET,3.823
Walmart,FOOD,DOG MAIN MEAL DRY,25.049
Walmart,FOOD,DOG MAIN MEAL WET,53.899
Walmart,MASS,CAT MAIN MEAL DRY,7.526
Walmart,MASS,CAT MAIN MEAL WET,4.76
Walmart,MASS,DOG MAIN MEAL DRY,23.467
Walmart,MASS,DOG MAIN MEAL WET,52.781
Walmart,FOOD,CAT TREATS,74.849
Walmart,FOOD,DOG TREATS,6.241
Walmart,MASS,CAT TREATS,70.025
Walmart,MASS,DOG TREATS,5.834
Wegmans,FOOD,CAT MAIN MEAL DRY,14.488
Wegmans,FOOD,CAT MAIN MEAL WET,6.732
Wegmans,FOOD,DOG MAIN MEAL DRY,14.4
Wegmans,FOOD,DOG MAIN MEAL WET,41.228
Wegmans,FOOD,CAT TREATS,75.347
Wegmans,FOOD,DOG TREATS,5.518
ShopRite,FOOD,CAT MAIN MEAL DRY,7.155
ShopRite,FOOD,CAT MAIN MEAL WET,2.652
ShopRite,FOOD,DOG MAIN MEAL DRY,18.714
ShopRite,FOOD,DOG MAIN MEAL WET,40.696
ShopRite,FOOD,CAT TREATS,55.119
ShopRite,FOOD,DOG TREATS,2.665
Kroger,FOOD,CAT MAIN MEAL DRY,15.2
Kroger,FOOD,CAT MAIN MEAL WET,9.7
Kroger,FOOD,DOG MAIN MEAL DRY,25
Kroger,FOOD,DOG MAIN MEAL WET,45.9
Kroger,FOOD,CAT TREATS,76.5
Kroger,FOOD,DOG TREATS,11.1
Ahold Delhaize,FOOD,CAT MAIN MEAL DRY 2018,10.993
Ahold Delhaize,FOOD,CAT MAIN MEAL WET 2018,6.083
Ahold Delhaize,FOOD,DOG MAIN MEAL DRY 2018,24.283
Ahold Delhaize,FOOD,DOG MAIN MEAL WET 2018,56.635
Ahold Delhaize,FOOD,CAT TREATS 2018,71.355
Ahold Delhaize,FOOD,DOG TREATS 2018,6.634
Albertsons,FOOD,CAT MAIN MEAL DRY 2018,12.324
Albertsons,FOOD,CAT MAIN MEAL WET 2018,6.39
Albertsons,FOOD,DOG MAIN MEAL DRY 2018,22.653
Albertsons,FOOD,DOG MAIN MEAL WET 2018,50.043
Albertsons,FOOD,CAT TREATS 2018,65.629
Albertsons,FOOD,DOG TREATS 2018,4.261
Family Dollar,Small Format,CAT MAIN MEAL DRY 2018,0
Family Dollar,Small Format,CAT MAIN MEAL WET 2018,0.007
Family Dollar,Small Format,DOG MAIN MEAL DRY 2018,24.701
Family Dollar,Small Format,DOG MAIN MEAL WET 2018,57.282
Family Dollar,Small Format,CAT TREATS 2018,64.687
Family Dollar,Small Format,DOG TREATS 2018,3.128
Meijer,MASS,CAT MAIN MEAL DRY 2018,18.142
Meijer,MASS,CAT MAIN MEAL WET 2018,14.449
Meijer,MASS,DOG MAIN MEAL DRY 2018,27.961
Meijer,MASS,DOG MAIN MEAL WET 2018,54.143
Meijer,MASS,CAT TREATS 2018,58.708
Meijer,MASS,DOG TREATS 2018,7.056
Target,MASS,CAT MAIN MEAL DRY 2018,20.152
Target,MASS,CAT MAIN MEAL WET 2018,14.69
Target,MASS,DOG MAIN MEAL DRY 2018,31.642
Target,MASS,DOG MAIN MEAL WET 2018,57.464
Target,MASS,CAT TREATS 2018,66.1
Target,MASS,DOG TREATS 2018,7.614
Walmart,FOOD,CAT MAIN MEAL DRY 2018,8.858
Walmart,FOOD,CAT MAIN MEAL WET 2018,3.823
Walmart,FOOD,DOG MAIN MEAL DRY 2018,25.049
Walmart,FOOD,DOG MAIN MEAL WET 2018,53.899
Walmart,MASS,CAT MAIN MEAL DRY 2018,7.526
Walmart,MASS,CAT MAIN MEAL WET 2018,4.76
Walmart,MASS,DOG MAIN MEAL DRY 2018,23.467
Walmart,MASS,DOG MAIN MEAL WET 2018,52.781
Walmart,FOOD,CAT TREATS 2018,74.849
Walmart,FOOD,DOG TREATS 2018,6.241
Walmart,MASS,CAT TREATS 2018,70.025
Walmart,MASS,DOG TREATS 2018,5.834
Wegmans,FOOD,CAT MAIN MEAL DRY 2018,14.488
Wegmans,FOOD,CAT MAIN MEAL WET 2018,6.732
Wegmans,FOOD,DOG MAIN MEAL DRY 2018,14.4
Wegmans,FOOD,DOG MAIN MEAL WET 2018,41.228
Wegmans,FOOD,CAT TREATS 2018,75.347
Wegmans,FOOD,DOG TREATS 2018,5.518
ShopRite,FOOD,CAT MAIN MEAL DRY 2018,7.155
ShopRite,FOOD,CAT MAIN MEAL WET 2018,2.652
ShopRite,FOOD,DOG MAIN MEAL DRY 2018,18.714
ShopRite,FOOD,DOG MAIN MEAL WET 2018,40.696
ShopRite,FOOD,CAT TREATS 2018,55.119
ShopRite,FOOD,DOG TREATS 2018,2.665
Kroger,FOOD,CAT MAIN MEAL DRY 2018,15.2
Kroger,FOOD,CAT MAIN MEAL WET 2018,9.7
Kroger,FOOD,DOG MAIN MEAL DRY 2018,25
Kroger,FOOD,DOG MAIN MEAL WET 2018,45.9
Kroger,FOOD,CAT TREATS 2018,76.5
Kroger,FOOD,DOG TREATS 2018,11.1
